Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
47,47,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
48,48,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
49,49,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
50,50,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
51,51,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
52,52,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
53,53,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
54,54,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
55,55,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
56,56,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
57,57,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
58,58,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
59,59,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
60,60,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
61,61,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
62,62,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
63,63,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e00000000be05536b2120212021202120,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
64,0,0,0000000000000000000000000000000000000000000000002e7f77700000000000000000000f0002001400000180c0f35e9a0dec008000000000c0f35e9a0dec,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
65,1,0,0000000000000000000000000000000000000000000000002e7f77700000000000000000000f0002001400000180c0f35e9a0dec008000000000c0f35e9a0dec,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
66,2,0,0000000000000000000000000000000000000000000000002e7f77700000000000000000000f0002001400000180c0f35e9a0dec008000000000c0f35e9a0dec,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
67,3,0,0000000000000000000000000000000000000000000000002e7f77700000000000000000000f0002001400000180c0f35e9a0dec008000000000c0f35e9a0dec,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
68,4,1,0000000000000000000000000000000000000000000000000dec01000406000801000608c6de9c9a0dec01000406000801000608c6de9c9a0dec924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
69,5,0,6e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a0dec01000406000801000608c6de9c9a0dec924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
70,6,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
71,7,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
72,8,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
73,9,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
