Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
54,54,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000d5c20286000000000000000000000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
55,55,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000d5c20286000000000000000000000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
56,56,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000d5c20286000000000000000000000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
57,57,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000d5c20286000000000000000000000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
58,58,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000d5c20286000000000000000000000000,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
59,59,0,000000000000000000000000000000000000000000000000120010274a890a64a8c00964a8c0528311400040106e260000450008ecfac34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
60,60,1,6a0336cb0000000000000000212021202120212021206565120010274a890a64a8c00964a8c0528311400040106e260000450008ecfac34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
61,61,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
62,62,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
63,63,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
64,64,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
65,65,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
66,66,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
67,67,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
68,68,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
69,69,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
70,70,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
71,71,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
72,72,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
